관리코드,상품명,규격
52-01.,죽순(홀),3kg*6
27-64,조지아커피캔오리지날 175 (156),175ml*30
31-40,조지아카페라떼 240 (99),240ml*30
31-10,조지아오리지날 240 (99),240ml*30
31-40-10,조지아맥스캔240 (132),240ml*30
27-64-1,조지아라떼175,175ml*30
31-41-06,조지아고티카콜드브루스위트아메리카노265ml(스윗),265*18
31-41-01,조지아고티카콜드브루라떼 265,265*18
81-22,조지아 크래프트 밀크라떼470,470*24
31-41-05,조지아 고티카콜드브루아메리카노 265,265*18
50-60-02,조이웰 황도 백도345g 6입*4세트-(BOX),{345g* (황3+백3)*4세트}
50-60-03,조이웰 황도 백도 망고345g 8입*3세트-(BOX),{345g*(황2+백2+망4)*3세트}
50-60,조이웰 황도 백도 망고 345g 3입*4세트-(BOX),{345g*(황1+백도1+망고1)*4세트}
50-59,조이웰 한마음 선물세트345g 8입*3세트-(BOX),{345g* (황도4+백4)*3세트}
50-60-01,조이웰 망고345g 6입*4세트-(BOX),{(345g* 망6)*4세트}
11-510,정통불고기참치150g,150g*48
11-500,정통불고기참치100g,100g*60
55-12,정관장홍삼골드100ml,(10병*10set)
55-08,정관장 홍삼원50ml (32),(50ml+30p)*5
16-03,장조림(롯데)/72,135g*48
16-07,장조림(롯데),80*48
10-10,장려금(대체.통장),
39-84,잔치국수소면900g/면사랑,900g*15
39-83,잔치국수소면3kg/면사랑 (91),3kg*4
23-51,자연은행복세트(알토감+키친)(1.5*3)*3-(BOX),(1.5*3)*3+9키친
23-53,웅진 자연은요거풋풋사과펫340,340ml*24
23-54-01,웅진 자연은요거풋풋사과1.5 (48),1.5L*12
23-54,웅진 자연은요거상큼복숭아펫340,340ml*24
23-54-02,웅진 자연은요거상큼복숭아1.5(48),1.5L*12
23-54-03,웅진 자연은 요거새콤파인애플1.5 (48),1.5L*12
23-54-05,웅진 자연은 요거상큼코코앤복숭아뚱캔340,340ml*24
01-230,자연숙성진간장1.7+500(청정원),(1.7+500)*8
01-23,자연숙성진간장1.7*8(청정원),1.7*8
29-17-01,일화헛개꿀물캔 (132),175ml*30
29-17,일화 헛개차340 (144),340ml*20
29-33,일화프레주제주감귤1.5,1.5L*12
29-12,일화파렛트,
29-17-02,일화유자꿀물캔175,175ml*30
29-00,일화 옥수수수염차340 (144),340ml*20
28-13-03,일화배도라지175,175ml*30
60-10,일화반품,0
23-40,일화 맑은하늘도라지(빙그레) 500 (72),500ml*20
23-40.,일화 맑은하늘도라지(빙그레) 340 (105),340ml*20
12-62,일화냉장고,310*20
29-18,일화꿀물캔,175ml*30
29-18.,일화꿀물(병)170*48,170ml*48
29-31,일화/녹차두유175,175ml*30
29-14,일화 한라봉제주감귤 340 (80),340ml*20
29-51,일화 프레주한라봉제주감귤240(110),240ml*30
29-50,일화 프레주복숭아 240 (110),240ml*30
29-50-01,일화 프레주망고240(110),240ml*30
29-00-01,일화 옥수수수염차캔 340 (24입),340ml*24
30-00,일화 아임보리 410(77),410*20
29-11,일화 고려홍삼디캔175*30(132),175ml*30
20-00,일렉팟 오토캐치 자동 무선충전 거치대 EP-1100,1개*박스
27-02,롯데칠성 이프로캔제로 240 (121),240ml*30
27-02-01,롯데칠성  이프로350 (98),350ml*20
27-02-03,롯데칠성 이프로1.5(45),1.5L*12
15-97,이츠웰파인(청크),3kg*6
15-98,이츠웰파인,836*12
14-51,이동크리스탈 500 (119),500ml*20
14-52,이동크리스탈 2L,2L*6
63-01,의성농협 미(20kg),20kg
63-02,의성농협 미(10kg),10kg
37-09,유한펑크린1L(50),1L*12
37-06,유한펑크린 2L(60),2L*6
37-02,유한락스후레쉬1L(55),1L*12
37-02.,유한락스후레쉬 2L(50),2L*6
37-01.,유한락스레귤러2L(50),2L*6
37-01,유한락스레귤러1L(55),1L*12
37-08,유한락스(후로날)2L,2L*6
18-03,유성신창완두콩(大),3kg*6
18-09,유성신창완두콩 400g (100),400g*24
10-08-02,유동황도슬라이스400 (96),400g*24
10-40,유동천일염고등어,400g*24
10-21-02,유동순살왕꼬막매운맛 280,280g*24
10-21-04,유동순살왕꼬막&골뱅이 280,280g*24
10-21,유동순살왕꼬막 280,280g*24
10-29,유동번데기 280g(96),280g*24
10-07,유동번데기 130 (96),130g*48
60-01,유동반품,0
10-09,유동매운골뱅이300g,300g*24
10-14,유동뚝배기번데기탕(얼큰한맛) (96),280g*24
10-14-02,유동뚝배기번데기탕(구수한맛)(96),280g*24
10-31,유동나들이어묵280g(시원한맛),280*24
10-32,유동나들이어묵280(얼큰한맛),280*24
10-15,유동꽁치덕용 (40),1.88kg*6
10-04,유동꽁치 400(96),400g*24
10-06,유동구슬골뱅이(소),140*48
10-05,유동구슬골뱅이(대),400g*24
10,유동골뱅이400+황도400,황400+골뱅400
10-03,유동골뱅이3kg,3kg*6
10-00-02,유동골뱅이300(96),300g*24
10-01,유동골뱅이(中) 230(96),230g*24
10-02,유동골뱅이(小) 140(96),140g*48
10-00,유동골뱅이(大) 400 (88),400g*24
10-13,유동고등어,400g*24
24-04,웰치스포도1.5(72),1.5L*6
24-05,웰치스포도 355 (110),355ml*24
24-06,웰치스포도 250(120),250ml*30
24-04-01,웰치스청포도1.5(72),1.5L*6
24-05-02,웰치스청포도 355 (110),355ml*24
24-05-01,웰치스딸기 355 (110),355ml*24
23-32.,웅진홍삼꿀D100*100,100ml*100
23-35,웅진헛개차500 (72)(66),500ml*20
23-012,웅진하늘보리325 (112),325ml*20
23-18,웅진하늘보리 500 (72),500ml*20
23-17,웅진하늘보리 1.5(48),1.5L*12
32-35..,웅진코코몽포도200,200ml*24
32-33,웅진코코몽사과200,200ml*24
32-34,웅진코코몽딸기200,200ml*24
23-19,웅진자연은초록매실캔 180 (132),180ml*30
23-12,웅진자연은초록매실병 180,180ml*48병
23-08,웅진자연은초록매실 500 (72),500ml*20
23-07,웅진자연은초록매실 1.5 (48),1.5L*12
23-20,웅진자연은포도병180,180ml*(12*4)
23-38,웅진자연은포도 500,500ml*20
23-31,웅진자연은포도 1.5 (48),1.5L*12
23-03,웅진자연은토마토캔175,175ml*30
23-30,웅진자연은토마토병180,180ml*(12*4)
23-301,웅진자연은토마토340,340ml*24
23-28,웅진자연은토마토1.5(48),1.5L*12
23-29,웅진자연은토마토 500(72),500ml*20
23-31-01,웅진자연은청포도1.5,1.5L*12
23-101,웅진자연은종합병(알토망) (64),180ml*48병
23-10,웅진자연은제주감귤병180,180ml*(12*4)
23-10..,웅진자연은제주감귤500,500ml*20
23-10…,웅진자연은제주감귤340,340ml*24
23-10-01,웅진자연은제주감귤 1.5 (48),1.5L*12
23-33,웅진자연은오렌지병180,180ml*(12*4)
23-15-01,웅진 자연은상큼오렌지 1.5(48),1.5L*12
23-27,웅진자연은알로에병180,180ml*(12*4)
23..,웅진자연은알로에340,340ml*24
23-23-01,웅진자연은알로에 500 (72),500ml*20
23-23,웅진자연은알로에 1.5(48),1.5L*12
23-1,웅진자연은싱그런종합(오.포.알)180,180*48
23-42,웅진자연은석류병 180,(180ml*12)*2
23-49,웅진자연은석류1.5,1.5L*12
23-34,웅진자연은사과캔,175ml*30
23-34-03,웅진자연은사과병 180,180ml*(12*4)
23-34-01,웅진자연은사과 1.5 (48),1.5L*12
23-41,웅진자연은블루베리 1.5,1.5L*12
24-44,웅진자연은복분자병180,180*48
23-48.,웅진자연은망고캔180 (132),180ml*30
23-48,웅진자연은망고병 180,180ml*(12*4)
23-50,웅진자연은망고 1.5 (48),1.5L*12
23-43,웅진자연은당근병 180,180ml*(12*4)
23-45,웅진자연은당근 1.5,1.5L*12
23-36,웅진자연은내사랑알로에캔180(132),180ml*30
23-16,웅진자연은고칼슘오렌지캔180 (132),180ml*30
23-16-01,웅진자연은고칼슘오렌지병180,180ml*(12*4)
23-14-01,웅진자연은고칼슘오렌지500,500ml*20
23-15,웅진자연은고칼슘오렌지 1.5(48),1.5L*12
81-11,웅진자연은 타트체리펫1.5(48),1.5L*12
81-12,웅진자연은 샤인머스캣펫1.5(48),1.5L*12
23--34-02,웅진은자연은사과 500,500ml*20
23-45.,웅진유기농하늘보리 200,200ml*24
23-39-01,웅진옥수수수염차1.5 (48),1.5L*12
23-05,웅진 맑게우려낸 누룽지500 (72),500ml*20
23-11,웅진아침햇살병 180,180ml*(12*4)
23-13,웅진아침햇살 500 (72),500ml*20
23-09,웅진아침햇살 1.5 (48),1.5L*12
23-41-01,웅진블루베리180병,180ml*(12*4)
60-14,웅진반품,
23-02,웅진매실캔(90)선물용,180ml*90
23-19-02,웅진 초록매실 매실청 1.5 (48),1.5L*12
23-39.,웅진맑은땅옥수수수염차캔180,180ml*30
23-332-1,웅진내사랑포도팩185,185ml*24
24-46,웅진내사랑제주감귤,1.5L*12
23-332,웅진내사랑유자병180,180ml*(12*4)
23-330,웅진내사랑유자펫280,280ml*24
21-91,웅진꿀홍삼병180 (64),180ml*(12*4)
21-910,웅진꿀홍삼280펫,280ml*24
23-32,웅진꿀홍삼1.5,1.5L*12
21-91.,웅진꿀물헛개병 180,180ml*(12*4)
23-333,웅진결명자차500 (72),500ml*20
26-25,웅진815사이다캔250,250*30
26-27,웅진815사이다1.5,1.5*12
23-44,웅진[내사랑]토마토 1.5(48),1.5L*12
24-45,웅진[내사랑]알로에1.5(48),1.5L*12
23-01-01,웅진/아침햇살캔180,180ml*30
23-01,웅진/아침햇살캔(선물용)180 (48),180*(15*6)
26-27-03,웅진 티즐 제로 피치우롱티500 (80),500ml*20
26-27-02,웅진 티즐 제로 유자그린티500 (80),500ml*20
23-22,웅진 옥수수수염차500 (72),500ml*20
200-04,운임,
21-69,우엉차0.5/남양,500*20
36-69,우리쌀진골드초고추장14kg,14kg
15-87-01,올리고당1.2(요리)1.2*500*9,1.2*500*9
15-87,올리고당1.2(리뉴얼)1.2+500*9,1.2+500*9
42-77,온장고3단,
42-76,온장고2단,
54-20,오징어짬뽕멀티/농심(56),(5*8)
01-53,오션/크랜베리 3 L,3L*6
24-40,오션/크랜베리 1.89 L,1.89*8
24-40.,오션/루비레드(자몽) 1.89 L,1.89*8
28-24-01,오로나민C 10입*5개(64),120ml*(10입*5)
28-20,오란씨파인애플250,250ml*30
28-19,오란씨파인 500,500ml*20
28-15,오란씨파인 1.5 (40),1.5L*12
28-20-01,오란씨오렌지250,250ml*30
28-19-02,오란씨오렌지 500,500ml*20
28-09,오란씨오렌지 1.5,1.5L*12
28-20-02,오란씨깔라만시250,250*30
28-21,오란씨355*24(파인),355ml*24
39-25,오뚜기카레 약간매운맛 1kg,1Kg*10
39-26,오뚜기카레 순한맛 1kg,1kg*10
39-28,오뚜기카레 매운맛 1kg,1kg*10
39-03.,오뚜기중면900g(10입),900*10
39-03,오뚜기중면900g,900g*15
60-12,오뚜기제품반품,0
39-18,오뚜기식용유18L(60),18L
39-126-05,오뚜기밥210g(8입) 72,8입*3
39-126-04,오뚜기밥210g(6입),6입*4
39-126-03,오뚜기밥210g(4입),(4입*6)
39-29.,오뚜기밥210g 24입 (64),210*24
39-29..,오뚜기밥200g (10입)/56,10입*3
39-126-02,오뚜기밥 210g (3입),3입*8
39-126-06,오뚜기밥 210g (12입) (104)(120),(12입*210g)
39-39,오뚜기마일드참치 200*36,200g*36
39-07,오뚜기 옛날당면1kg,1k*10
39-27-01,오뚜기/참깨라면멀티 4입,4*8=32
39-93-02,오뚜기/참깨라면멀티,5*8
39-27,오뚜기/참깨라면기획(5+1),(5+1)*8
39-09,오뚜기/참기름350ml캔,350ml*12
39-06-01,오뚜기/자른당면500g,500g*20
39-100,오뚜기/옛날참기름병320,320*12
39-80..,오뚜기/옛날참기름450ml(102),450ml*12
39-102,오뚜기/옛날자른당면300g(20개입),300g*20
39-06,오뚜기/옛날당면500,500*20
39-101,오뚜기/옛날당면300g(20개입),300g*20)
39-05,오뚜기/옛날당면300g,300g*30
39-93-01,오뚜기/열라면멀티,5*8
39-10,오뚜기/알뜰당면1k,1k*10
39-17.,오뚜기/식용유1.8*8,1.8*8
39-01,오뚜기/소면3k,3k*4
39-02,오뚜기/소면(900*15) (70),900g*15
39-08,오뚜기/고소한참기름1000ml,1000*8*(80)
39-94-01,오뚜기 진비빔면 (84),4*8
39-09-01,오뚜기 옛날쌀떡국 108.6g*12,181.6g*12
39-95-01,오뚜기 김치라면멀티 (84),4*8
22-57,영진구론산 스파클링오리지날 150 ml*30(64),150*30
22-56,영진구론산 바몬드오리지날 150ml*30(64),150*30
25-59,여명1004 119ml(곽),(119ml*15병)
07-31-05,엘지쓰임가득16호(엘지3호)/6세트-(BOX),6세트
07-31-06,엘지쓰임가득16호(엘지3호)/1세트,1set
07-31-02,엘지쓰임가득 두배세트*6 -(BOX),6set
07-31,엘지 생활의감동y호/6세트(32),(샴푸2+바디워시1+치약2+비누2+페리오캐5)*6
07-32,엘지1호*6-(BOX),6set
40-12,에프킬라 에어로졸 킨500*24(48),500*24
36-112,에탄올워셔액(유니켐),1.8L*12
51-04,에어캪(小)뽁뽁이,50*50
81-02,에스 미라클 타이거 스네일 80 마스크팩 25ml,25ml*12
01-50,에비앙500 (96),500ml*24
11-15,양반김4D호,8*김*24
22-61,야쿠르트파렛트,
01-26,액츠(일반)3.0/용기,3.0*4
01-28,액츠(일반)2.0/리필,2.0*2*4
01-25,액츠(드럼)3.0/용기,3.0*4
01-29,액츠(드럼)2.0/리필,2.0*2*4
45-13,애경행복3-1*5-(BOX),(3-1*5세트
02-18,애경트리오400g,400g*30
02-59,애경울샴푸1.3(리필),1.3*9
45-20,애경사랑1호*7-(BOX),7set
45-42,애경브라보주방세제14L,14L
45-14,애경3호*6-(BOX),6set
02-29-03,애경2080미세모칫솔(5+5),(5+5)*8
02-29,애경2080( 탄력모)칫솔(5+5),(5+5)*8
31-47-08,환타밀크소다 500ml,500ml*24
31-28-02,암바사 1.5L,1.5*12
01-09,농심새우깡90g / 56,90g*20
54-02,안성탕면멀티/농심,(5*8)
26-15.,아주파렛트,
20-11.,아주광동파렛트,
27-100,아이시스300/롯데칠성 (152),300*20
65-04-03,아이스헤이즐넛향 230ml,230ml*10
65-04-06,아이스티복숭아230ml,230ml*10
65-04-01,아이스테디레몬밤 천도복숭아 230ml,230ml*10
65-04-02,아이스테디레몬밤 자몽230ml,230ml*10
65-04,아이스테디 레몬밤석류230ml,230ml*10
65-04-04,아이스아메리카노블랙 230ml,230ml*10
65-04-05,아이스스위트아메리카노 230ml,230ml*10
25-27,아몬드브리즈오리지날950ml/매일,950*10
25-29,아몬드브리즈언스위트950ml/매일,950*10
29-29-05,아망아망 물티슈캡형100매*20(72),100매*20
60-18,씨제이제품반품,
100-100,씨그램플레인 350(pet),350ml*24
100-100-02,씨그램레몬 350(pet),350ml*24
100-100-01,씨그램라임 350(pet),350ml*24
100-100-03,씨그램 워터 아티스트,500*20
32-15,썬키스트훼미리포도,180ml*30
32-16,썬키스트훼미리오렌지,180ml*30
32-24-05,썬키스트제주감귤180,180ml*30
32-16-04,광동 썬키스트 자몽소다뚱캔355 (110),355ml*24
32-24-03,해태과일촌우리배175,175ml*30
32-24-14,썬키스트옥수수180,180ml*30
32-24-13,썬키스트오렌지180,180ml*30
32-24,썬키스트알로에180,180ml*30
32-24-08,썬키스트석류180,180ml*30
32-16-12,썬키스트샤인온더비치뚱캔340,340ml*24
32-24-12,썬키스트사과 180,180ml*30
32-16-11,썬키스트블루하와이뚱캔340,340ml*24
32-24-06,썬키스트블루하와이180,180ml*30
32-16-13,썬키스트모히또뚱캔340,340ml*24
32-16-03,썬키스트멜론소다뚱캔355,355ml*24
32-24-01,썬키스트매실180,180ml*30
32-24-02,썬키스트망고180,180ml*30
32-40,해태 미닛메이드 레몬에이드뚱캔340,340ml*24
32-38-02,썬키스트드링크포도240,240*30
32-38-06,썬키스트드링크제주자몽240,240*30
32-38-05,썬키스트드링크제주감귤240,240*30
32-38,썬키스트드링크오렌지240,240*30
32-38-04,썬키스트드링크석류240,240*30
32-38-01,썬키스트드링크사과240,240*30
32-38-07,썬키스트드링크망고240,240*30
32-38-03,썬키스트드링크 머스캣240 (청포도),240*30
32-24-11,썬키스트 머스캣 180 (청포도),175ml*30
23-25-14,썬키스트 로보카폴리포도 210,210*20
23-25-15,썬키스트 로보카폴리사과 210,210*20
23-25-16,썬키스트 로보카폴리딸기 210,210*20
32-24-09,썬키스트 과일사이다 체리  380ml,380ml*24
32-24-10,썬키스트 과일사이다 딸기키위 380ml,380ml*24
32-24-07,썬키스트 과일사이다  파인애플 380,380ml*24
81-19,썬키스트 겨울왕국포도210,(210*20)
81-18,썬키스트 겨울왕국딸기210,(210*20)
36-01,썬연료부탄가스*28입 (80/70),4*7 (80/70)
32-35,써니텐포도250*30,250ml*30
32-51,써니텐포도1.5,1.5L*12
32-35.,써니텐파인250*30,250ml*30
32-52,써니텐파인1.5,1.5L*12
32-36,써니텐파인0.5*20,0.5*20
32-12,써니텐오렌지1.5,1.5L*12
27-03-01,실론티(업소)175(154),175ml*30
27-03,실론티 250 (121)(110),250ml*30
25-59-03,신형 여명808 (15*6곽),119ml*90
54-01,농심 신라면멀티 (56),(5*8)
54-04,신라면30입,30개
31-17,스프라이트캔 355(업소) (88/100),355ml*24
31-09-09,스프라이트제로1.5 (일반)/44,1.5L*12
31-09,스프라이트(일반) 1.5 (55),1.5L*12
31-09-01,스프라이트(업소) 1.5 (44)(40),1.5L*12
31-09-05,스프라이트 500(일반)/48,500ml*24
31-09-06,스프라이트 500(업소용)/48,500ml*24
31-17-01,스프라이트 250(99),250ml*30
31-17-02,스프라이트 190,190ml*30
31-09-02,스프라이트 1.5(일반)6입,1.5L*6
45-07-03,CJ특별한선택N호/4세트(24),(스팸클200g*7+참330ml*1+카놀500ml*2)*4
45-12,스팸특별한선택 N2호 / 4세트-(BOX)/24,스팸7+참기름1+식용유2
15-04,스팸클래식340(96),340g*20
15-22,스팸클래식200g(3입),200g*(3*8)
15-23,스팸기획클래식340g(4입),(340g*4)*8
15-03,스팸클래식 200 (160),200g*20
45-25,스팸복합NH호*4-(BOX),(스팸소6+카놀1+요리유1)*4set
45-27,CJ스팸복합2호 / 4세트(32),(스팸클200g*6+카놀라유500ml*3)*4
45-11,CJ스팸복합1호 / 5세트(24),(스팸클200g*6+카놀라유500ml*2)*5
15-04-03,스팸기획340(클3+마일드1)*8(56),(340g*4)*8
15-03-04,스팸기획200(클5+마1)*8,(클200*5+마200*1)*8
15-03-08,스팸기획200(클2+마2)*8,(2+2)*8
15-03-09,스팸기획200(클*3+마*1)*12 (56),(3+1)*12
45-21,CJ스팸8호 / 5세트 (40),(스팸클200g*9)*5
45-06,CJ 스팸8E호 / 5세트-(BOX) (40),클래식7EA+마일드2EA
45-05,CJ스팸6호/4세트(40),(스팸클래식200g*12)*4
45-09,스팸5호,대16소24
45-10-01,CJ스팸3호/4세트 (40),(스팸클200g*6+스팸클340g*6)*4
45-02,스팸2호*4세트(box),(340*12)*4
15-04-02,스팸마일드 25% 라이트 340(96),340g*20
15-03-03,스팸마일드 25% 라이트 200(160),200g*20
15-26.,스팸200기획 클래식(200*6)*6,(클래식200*6)*6
15-50,스팸200(클200g*4+마200g*2),(4+2)*6
45-08,CJ스팸1호/4세트(18),(스팸클래식340g*12)*4
15-27,스팸(클래식340*4+마일200*2),클래식340*16+마일드200*8
27-91..,스파클링유자뚱345,345ml*24
02-16,스파크R 5.5k(48),5.5k+3
02-17,스파크5k(지합)-카툰,5k*3
02-15,스파크3k(리필)(60),3k*4
02-13,스파크1kⓒ,1k*10
02-12,스파크 시그니처리필 9kg.,9kg*2
02-17.,스파크 시그니처리필 9kg,9kg*2
02-14,스파크 11 k,11k*2
200-05-01,스트레치랩(공업용),20t*500*4
24-704-03,동서스타벅스브렉퍼스트브렌드블랙275ml,(275ml*24)
24-704-06,스타벅스더블샷스파이크플레이스로스트블랙(캔)200ml(108),200ml*36
24-704-05,스타벅스더블샷아메리카노(캔)200ml(108),200ml*36
24-704-02,동서스타벅스 파이크플레이스로스트블랙275ml,(275ml*24)
24-704-01,스타벅스 시그니처초콜릿 275ml,(275ml*24)
24-704,동서스타벅스 더블샷 에스프레소&크림275ml,(275ml*24)
24-704-04,스타벅스 더블샷 에스프레소&크림(캔)200ml(108),200ml*36
39-91..,스낵면멀티40입/오뚜기(64),5*8
61-58-01,쉐프솔루션 황태국 1.2kg,1.2kg*8
61-58-04,쉐프솔루션 미역국 1.2kg,1.2kg*8
61-58-03,쉐프솔루션  소고기 해장국 1.2kg,1.2kg*8
61-58-02,쉐프솔루선 육개장 1.2kg,1.2kg*8
01-20.,순창현미태양초고추장2.8(500+450)*4,(2.8+500g쌈장+450g고추장)*4
01-20,순창현미고추장(2.8+450g)*4,(2.8+450g)*4
01-19..,순창초고추장500*15,500*15
07-22.,순창재래식된장500g봉지,500g*12
01-22.,순창재래된장 4.8,4.8*2
40-04,순샘베리1.2*10,1.2*10
27-05..,솔의눈1.5,15.m*12
27-05,솔의눈 240 (121),240ml*30
1000-04,손소독제알엑스,500ml*20
1000-02,손소독제마시멜로,500ml*20
60-32,세제제품반품,0
36-04,세이프부탄*28입 (64),4입*7
22-61-01,석수파렛트,
30-02,석수2L,2L*6
36-83-03,서연명품종이컵 (84),(6.5온스*20)
28-60,생생톤180ml*40/동화,180ml*40
28-60-02,생생톤100ml*100/동화,100ml*100
25-273,광동생강쌍화 120ml,120ml*100
03-17..,샘표진간장금S (2번들기획),1.8L*2*3=6
03-22-01,샘표진간장금F-3(금F3 1.7+금F3 500) (36),(금F3+금F3 500)*6
